ID,name,href,docket_number,term
60235,DiBella v. United States,https://api.oyez.org/cases/1961/21,21,1961
60236,"Hohensee v. News Syndicate, Inc.",https://api.oyez.org/cases/1961/214,214,1961
60237,United States v. Gilmore,https://api.oyez.org/cases/1962/21,21,1962
60238,United States v. Patrick,https://api.oyez.org/cases/1961/22,22,1961
60239,National Labor Relations Board v. Katz,https://api.oyez.org/cases/1961/222,222,1961
60240,Hanover Bank v. Commissioner,https://api.oyez.org/cases/1961/224,224,1961
60241,United States v. Drum,https://api.oyez.org/cases/1961/23,23,1961
60242,Benz v. New York State Thruway Authority,https://api.oyez.org/cases/1961/234,234,1961
60243,Lanza v. New York,https://api.oyez.org/cases/1961/236,236,1961
60245,Halliburton Oil Well Cementing Company v. Reily,https://api.oyez.org/cases/1961/24,24,1961
60246,"Sunkist Growers, Inc. v. Winckler & Smith Citrus Products Company",https://api.oyez.org/cases/1961/241,241,1961
60247,Glidden Company v. Zdanok,https://api.oyez.org/cases/1961/242,242,1961
60248,"Dairy Queen, Inc. v. Wood",https://api.oyez.org/cases/1961/244,244,1961
60249,"Federal Land Bank of Wichita v. Board of County Commissioners of Kiowa County, Kansas",https://api.oyez.org/cases/1961/25,25,1961
60250,Garner v. Louisiana,https://api.oyez.org/cases/1961/26,26,1961
60251,Presser v. United States,https://api.oyez.org/cases/1961/278,278,1961
60253,"Atlantic & Gulf Stevedores, Inc. v. Ellerman Lines, Ltd.",https://api.oyez.org/cases/1961/282,282,1961
60254,Salem v. United States Lines Company,https://api.oyez.org/cases/1961/283,283,1961
60255,"United States v. Diebold, Inc.",https://api.oyez.org/cases/1961/286,286,1961
60256,In re Zipkin,https://api.oyez.org/cases/1961/288,288,1961
60260,Kennedy v. Mendoza-Martinez,https://api.oyez.org/cases/1961/2,2,1961
60261,Organized Village of Kake v. Egan,https://api.oyez.org/cases/1961/3,3,1961
60262,Martin v. Walton,https://api.oyez.org/cases/1961/30,30,1961
60265,Continental Ore Company v. Union Carbide & Carbon Corporation,https://api.oyez.org/cases/1961/304,304,1961
60266,Hoyt v. Florida,https://api.oyez.org/cases/1961/31,31,1961
60268,In re Green,https://api.oyez.org/cases/1961/312,312,1961
60270,Hamilton v. Alabama,https://api.oyez.org/cases/1961/32,32,1961
60271,Vaughan v. Atkinson,https://api.oyez.org/cases/1961/323,323,1961
60273,"Charles Dowd Box Company, Inc. v. Courtney",https://api.oyez.org/cases/1961/33,33,1961
60274,Douglas v. California,https://api.oyez.org/cases/1961/34,34,1961
60276,Yellin v. United States,https://api.oyez.org/cases/1961/35,35,1961
60277,Guzman v. Pichirilo,https://api.oyez.org/cases/1961/358,358,1961
60278,"Public Affairs Associates, Inc. v. Rickover",https://api.oyez.org/cases/1961/36,36,1961
60279,Wood v. Georgia,https://api.oyez.org/cases/1961/369,369,1961
60280,Wong Sun v. United States,https://api.oyez.org/cases/1962/36,36,1962
60281,National Labor Relations Board v. Ochoa Fertilizer Corporation,https://api.oyez.org/cases/1961/37,37,1961
